"","Year","est","lwr","upr","log_est","se"
"1",1976,4841117.74863616,3618704.2777624,6476467.61305728,15.3926561918312,0.148487221560391
"2",1979,1148133.96212239,736374.494482057,1790137.49777693,13.9536485407979,0.226613576562057
"3",1982,3519824.63819272,2498347.21999712,4958944.61124694,15.073921727638,0.174891871042266
"4",1985,3785800.89401108,2681714.27237277,5344450.21110095,15.1467680193028,0.175922221100164
"5",1988,2959577.52024409,2160701.81961322,4053821.31806696,14.9005570864661,0.160520012394994
"6",1991,3439186.41144036,2301825.37948177,5138531.91387567,15.0507454930749,0.204867276571434
"7",1996,1934346.4661003,1194015.73327132,3133707.66117409,14.4752800837804,0.246151122058285
"8",1999,3954975.37806584,2538984.29299761,6160664.43744707,15.1904849336439,0.226131838527101
"9",2002,2023721.20348054,1330236.9510911,3078735.3381347,14.5204485545858,0.214075827336996
"10",2006,4075670.80618385,2975541.35203594,5582544.67174976,15.220545906124,0.160517928455218
"11",2008,3873113.05310827,2774523.87966346,5406695.1205975,15.1695691481324,0.170196715458884
"12",2010,1973425.6111085,1049420.4550743,3711008.89424081,14.4952814794848,0.322216562273578
"13",2011,3795652.27519927,2743784.04460115,5250768.99640608,15.1493668315655,0.16557358724013
"14",2014,10468984.0957391,7249057.18326014,15119156.2193675,16.1639275481236,0.187526697600874
"15",2017,2566025.4865658,1794606.10310987,3669042.90935764,14.7578687565191,0.182438373704921
"16",2018,1465168.39764645,916397.618720729,2342562.21274195,14.1974807410263,0.239430476113309
"17",2019,6690386.28298565,4962863.02109492,9019243.21209396,15.7161821707941,0.152395053675783
"18",2020,2271195.38789578,1531318.46286042,3368553.71048267,14.6358168534484,0.201114507124838
"19",2021,2327136.66289596,1624312.55505205,3334065.86740383,14.6601491697804,0.183449252855338
"20",2022,5306213.6573976,3323047.23261671,8472916.99666324,15.4843890800002,0.238778019702433
"21",2023,3693921.70341125,2767446.98677563,4930557.88101315,15.1221992439052,0.147331001201108
"22",2024,3150579.81833899,1610093.7449477,6164953.57669215,14.9630970631771,0.342503284004736
