"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t","est.t2","lwr.t2","upr.t2"
"1",1978,12341974.8986707,6385201.3881744,23855840.2686449,16.3285166040473,0.336242411323976,12341.9748986707,6385.2013881744,23855.8402686449,123419.748986707,63852.013881744,238558.402686449
"2",1979,8296089.85888114,5338852.40614089,12891367.2285576,15.9312948604241,0.2248886108505,8296.08985888114,5338.85240614089,12891.3672285576,82960.8985888114,53388.5240614089,128913.672285576
"3",1980,12479229.6260132,8190301.70701349,19014094.6731438,16.3395761903154,0.214858487208543,12479.2296260132,8190.30170701349,19014.0946731438,124792.296260132,81903.0170701349,190140.946731438
"4",1981,12077441.6733642,7052701.65228008,20682088.1649457,16.3068499460357,0.274458426689656,12077.4416733642,7052.70165228008,20682.0881649457,120774.416733642,70527.0165228008,206820.881649457
"5",1982,15123475.9295553,11001599.9053896,20789660.2456694,16.531758791816,0.16235376169921,15123.4759295553,11001.5999053896,20789.6602456694,151234.759295553,110015.999053896,207896.602456694
"6",1983,6446018.67808502,4754900.40197081,8738596.66566284,15.6789732389774,0.155251287060947,6446.01867808502,4754.90040197081,8738.59666566284,64460.1867808502,47549.0040197081,87385.9666566284
"7",1984,3104227.545608,2044395.80898804,4713484.84111859,14.9482754648175,0.213097083535133,3104.227545608,2044.39580898804,4713.48484111859,31042.27545608,20443.9580898804,47134.8484111859
"8",1985,1975536.11801679,1291382.85729976,3022142.45103838,14.4963503716413,0.216905101530794,1975.53611801679,1291.38285729976,3022.14245103837,19755.3611801679,12913.8285729976,30221.4245103837
"9",1986,1031143.23008505,593400.83000401,1791801.27021907,13.846178676808,0.28192012486075,1031.14323008505,593.40083000401,1791.80127021907,10311.4323008505,5934.0083000401,17918.0127021907
"10",1987,2120729.46166689,1186449.24664462,3790717.10172283,14.5672706731562,0.296329473135081,2120.72946166689,1186.44924664462,3790.71710172283,21207.2946166689,11864.4924664462,37907.1710172283
"11",1988,2347406.99267903,1532825.12280812,3594878.18100445,14.6688218695476,0.217452359688248,2347.40699267903,1532.82512280812,3594.87818100445,23474.0699267903,15328.2512280812,35948.7818100445
"12",1989,4238636.67136515,3047354.03130783,5895619.82206935,15.2597522357308,0.168354111091439,4238.63667136515,3047.35403130783,5895.61982206935,42386.3667136515,30473.5403130783,58956.1982206935
"13",1990,4568035.4325006,3007687.34292943,6937871.30555164,15.3345937869649,0.213224208943164,4568.0354325006,3007.68734292943,6937.87130555164,45680.354325006,30076.8734292943,69378.7130555164
"14",1991,5385691.49744581,3386837.16491218,8564236.03890982,15.4992562721105,0.236662112987716,5385.69149744581,3386.83716491218,8564.23603890982,53856.9149744581,33868.3716491218,85642.3603890982
"15",1992,5547742.55337833,3140003.13300918,9801725.07314334,15.5289016558395,0.290396815794311,5547.74255337833,3140.00313300918,9801.72507314334,55477.4255337833,31400.0313300918,98017.2507314334
"16",1993,6884825.19887541,4319216.15865303,10974402.8263341,15.7448303011335,0.237884882482639,6884.82519887541,4319.21615865303,10974.4028263341,68848.2519887541,43192.1615865303,109744.028263341
"17",1994,4697691.77427646,2837911.34869392,7776249.95800561,15.3625818341893,0.257149079879656,4697.69177427646,2837.91134869392,7776.24995800561,46976.9177427646,28379.1134869392,77762.4995800561
"18",1995,4408383.19613835,2552501.66820669,7613645.32923051,15.2990185580098,0.278798018607142,4408.38319613835,2552.50166820669,7613.64532923051,44083.8319613835,25525.0166820669,76136.4532923051
"19",1996,5918605.07945196,3932187.5753064,8908498.23810477,15.5936113506245,0.208628775799034,5918.60507945196,3932.1875753064,8908.49823810477,59186.0507945196,39321.875753064,89084.9823810477
"20",1997,5609365.55094578,3946146.54553308,7973596.90550639,15.5399481785804,0.179441091130576,5609.36555094578,3946.14654553308,7973.59690550639,56093.6555094578,39461.4654553308,79735.9690550639
"21",1998,4390227.08607536,3062075.42376263,6294454.31609455,15.2948915117489,0.183823798552132,4390.22708607536,3062.07542376263,6294.45431609455,43902.2708607536,30620.7542376263,62944.5431609455
