"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,17394909.8238654,9909723.18956184,30533939.4443558,16.6716881825286,0.287077320545935,17394.9098238654,9909.72318956184,30533.9394443558
"2",1979,8156504.98100708,5150344.32566114,12917305.9699563,15.9143263240378,0.234571756372889,8156.50498100708,5150.34432566114,12917.3059699563
"3",1980,12943958.1363074,8494994.25320042,19722915.3123154,16.3761396840591,0.214877442027089,12943.9581363074,8494.99425320042,19722.9153123154
"4",1981,12445596.5164328,7588261.2219336,20412169.2861776,16.3368774248515,0.25243544965432,12445.5965164328,7588.2612219336,20412.1692861776
"5",1982,16854232.4884614,11842232.6631017,23987465.9497447,16.6401123694795,0.1800694467355,16854.2324884614,11842.2326631017,23987.4659497447
"6",1983,6858483.70792933,4987018.95366408,9432247.84364849,15.7409969414409,0.162578526349949,6858.48370792933,4987.01895366408,9432.24784364849
"7",1984,3153973.25407159,2115480.52201782,4702263.70976491,14.9641735664665,0.203769573210566,3153.97325407159,2115.48052201782,4702.26370976491
"8",1985,2291190.78917697,1456461.95913024,3604320.18117679,14.6445822356535,0.231158073407755,2291.19078917697,1456.46195913024,3604.32018117679
"9",1986,1035240.38104712,571023.441118332,1876845.27355242,13.8501442099347,0.303555919438052,1035.24038104712,571.023441118332,1876.84527355242
"10",1987,2255581.58046769,1295355.33048812,3927608.23721473,14.6289184047476,0.282976017501552,2255.58158046769,1295.35533048812,3927.60823721473
"11",1988,2425194.50615009,1542068.09943727,3814078.24648397,14.7014222878589,0.231018169844419,2425.19450615009,1542.06809943727,3814.07824648397
"12",1989,5120246.63567771,3607243.80150485,7267855.19715411,15.4487131668863,0.178706660344135,5120.24663567771,3607.24380150485,7267.85519715411
"13",1990,5353456.20876304,3650687.56692725,7850437.17210398,15.4932529306204,0.195323409675418,5353.45620876304,3650.68756692725,7850.43717210398
"14",1991,6249202.61928851,4314984.00650949,9050446.8424468,15.6479644326596,0.188962786854737,6249.20261928851,4314.98400650949,9050.4468424468
"15",1992,6459914.00869756,4516308.17588141,9239956.03812462,15.6811265643231,0.182616172709296,6459.91400869756,4516.30817588141,9239.95603812462
"16",1993,7468682.91189536,5474750.18536656,10188816.393401,15.826229224548,0.158458024032812,7468.68291189536,5474.75018536656,10188.816393401
"17",1994,5076348.34833591,3563591.06303642,7231276.56844429,15.4401027320054,0.180525466191153,5076.34834833591,3563.59106303642,7231.27656844429
"18",1995,4853424.38123835,3391737.49240744,6945032.82672359,15.3951950717593,0.182831007047452,4853.42438123835,3391.73749240744,6945.03282672359
"19",1996,6734648.53852128,4890742.07465866,9273744.19771917,15.7227761821326,0.163228294606159,6734.64853852128,4890.74207465866,9273.74419771917
"20",1997,7665238.49473328,5616709.73595178,10460907.5318692,15.8522061845768,0.15865066544201,7665.23849473328,5616.70973595178,10460.9075318692
"21",1998,5849803.46198311,4142749.5162401,8260262.9991705,15.5819186224015,0.176048317930219,5849.80346198311,4142.7495162401,8260.2629991705
"22",1999,1749618.28682213,1023861.38949099,2989822.82270087,14.3749082002917,0.273380781955204,1749.61828682213,1023.86138949099,2989.82282270087
"23",2000,1851899.49879716,1098883.31397991,3120924.40572621,14.4317224264076,0.26628926730191,1851.89949879716,1098.88331397991,3120.92440572621
"24",2001,2493105.2334687,1542827.27332043,4028690.58165665,14.7290395731947,0.244857759639146,2493.1052334687,1542.82727332043,4028.69058165665
"25",2002,1269228.09493609,720866.831114675,2234726.14835685,14.053919474387,0.288632740141348,1269.22809493609,720.866831114675,2234.72614835685
"26",2003,1288370.3830242,723869.127477983,2293091.63886729,14.0688887087675,0.294149699402007,1288.3703830242,723.869127477983,2293.09163886729
"27",2004,1275092.46524719,711642.048154602,2284660.94597174,14.0585292557076,0.29755594372467,1275.09246524719,711.642048154602,2284.66094597174
"28",2005,1197009.53931688,654181.565549696,2190266.30016949,13.9953369538625,0.308269306759959,1197.00953931688,654.181565549696,2190.26630016949
"29",2006,2952540.64206614,1927671.06758103,4522294.48771654,14.898176592265,0.217531273090583,2952.54064206614,1927.67106758103,4522.29448771654
"30",2007,4453190.71259113,3083771.44584263,6430731.93684402,15.3091314112761,0.187486868587615,4453.19071259113,3083.77144584263,6430.73193684402
"31",2008,3475173.18358674,2339571.74188315,5161982.61404869,15.0611548727426,0.201879433279654,3475.17318358674,2339.57174188315,5161.98261404869
"32",2009,5069864.36921798,3551931.65496679,7236491.92019894,15.438824623576,0.181545418566603,5069.86436921798,3551.93165496679,7236.49192019894
"33",2010,8420702.90420704,6157433.46414979,11515875.5370671,15.9462038630438,0.159713781607398,8420.70290420704,6157.43346414979,11515.8755370671
"34",2011,6967029.28665831,4992339.45948146,9722795.79045212,15.7566994776288,0.170046129847731,6967.02928665831,4992.33945948146,9722.79579045212
"35",2012,5168798.45984148,3581562.28844096,7459447.96344425,15.4581508132539,0.187167294676458,5168.79845984148,3581.56228844096,7459.44796344425
"36",2013,2671879.10309028,1687832.11550771,4229649.30927571,14.7982925667656,0.234359957037277,2671.87910309028,1687.83211550771,4229.64930927571
"37",2014,4222182.20723857,2818018.76366977,6326012.73666005,15.2558626630766,0.206288501391467,4222.18220723857,2818.01876366977,6326.01273666005
"38",2015,3382390.65959352,2154242.29128613,5310714.87194472,15.0340933131812,0.230179585961231,3382.39065959352,2154.24229128613,5310.71487194472
"39",2016,2885217.13249202,1810784.05089917,4597167.67302641,14.8751107176545,0.237677954589368,2885.21713249202,1810.78405089917,4597.16767302641
"40",2017,1192712.06630032,640357.693137709,2221511.64629245,13.9917403193097,0.317331404799284,1192.71206630032,640.357693137709,2221.51164629245
"41",2018,1517622.79756419,846466.925647681,2720932.01270005,14.2326557196067,0.297877571377269,1517.62279756419,846.466925647681,2720.93201270005
"42",2019,2810526.97224505,1737121.381061,4547213.53834949,14.8488825583343,0.245485447505664,2810.52697224505,1737.121381061,4547.21353834949
"44",2021,1702977.25146973,944556.405308867,3070363.50896914,14.34788860164,0.300728953385587,1702.97725146973,944.556405308867,3070.36350896914
"45",2022,2033519.90904524,1163438.65626592,3554294.15913974,14.5252787948127,0.284897203383662,2033.51990904523,1163.43865626592,3554.29415913974
"46",2023,1687577.42008098,944834.294115208,3014197.90380717,14.3388045792429,0.295944080024231,1687.57742008098,944.834294115208,3014.19790380717
"47",2024,1951562.01515867,925013.086212956,4117340.99309096,14.4841406432986,0.380913876752717,1951.56201515867,925.013086212956,4117.34099309096
