"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,13825618.1008743,8282344.24171037,23078938.799548,16.4420338132973,0.261431949805816,13825.6181008743,8282.34424171037,23078.938799548
"2",1979,7996711.86755948,5068599.21012587,12616385.324966,15.8945409985986,0.232639964162053,7996.71186755948,5068.59921012587,12616.385324966
"3",1980,12419097.2692423,8490283.87173387,18165938.7734235,16.3347459481921,0.194040787204451,12419.0972692423,8490.28387173387,18165.9387734235
"4",1981,12191323.7571183,7740149.52750344,19202261.4579666,16.3162350892546,0.231791772022308,12191.3237571183,7740.14952750344,19202.2614579666
"5",1982,15929338.2660398,11470650.4290104,22121135.9516439,16.5836731409129,0.167539275736531,15929.3382660398,11470.6504290104,22121.1359516439
"6",1983,6735119.94326415,4937469.11737772,9187265.69660977,15.7228461766159,0.158412473699177,6735.11994326415,4937.46911737772,9187.26569660977
"7",1984,3536665.73552067,2332474.10325399,5362548.08032222,15.0786949586385,0.212378825759308,3536.66573552067,2332.47410325399,5362.54808032222
"8",1985,2463371.06758532,1571661.7785932,3861006.92863328,14.7170413225092,0.229288523053581,2463.37106758532,1571.6617785932,3861.00692863328
"9",1986,1082508.68928423,610039.953826437,1920898.87723857,13.894791765879,0.2926135573521,1082.50868928423,610.039953826437,1920.89887723857
"10",1987,2421153.95680319,1435214.55074012,4084397.33245513,14.6997548261342,0.266805880897914,2421.15395680319,1435.21455074012,4084.39733245513
"11",1988,2608788.91321325,1690696.86313502,4025428.65140504,14.7743966536833,0.221302692368791,2608.78891321325,1690.69686313502,4025.42865140504
"12",1989,5338615.15707754,3746708.75333686,7606892.78823578,15.4904768434229,0.180660715921456,5338.61515707754,3746.70875333686,7606.89278823578
"13",1990,6175259.19509822,4141667.02047323,9207361.65851594,15.6360614145121,0.203806034681213,6175.25919509822,4141.66702047323,9207.36165851594
"14",1991,7484744.48181966,4857746.53221699,11532384.3240052,15.8283774378877,0.220561311049933,7484.74448181966,4857.74653221699,11532.3843240052
"15",1992,7954928.19076473,4669454.88088408,13552092.0823722,15.8893021927824,0.271815860911157,7954.92819076473,4669.45488088408,13552.0920823722
"16",1993,9151391.64668262,5769511.84736175,14515607.4355351,16.0294165182204,0.235370899056115,9151.39164668262,5769.51184736175,14515.6074355351
"17",1994,6063430.41414939,3705967.14498082,9920538.13456625,15.6177862728277,0.251194132280807,6063.43041414939,3705.96714498082,9920.53813456625
