"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,9154840.46580867,5036653.30783614,16640236.8461639,16.0297933100305,0.304873416798648,9154.84046580867,5036.65330783614,16640.2368461639
"2",1979,8870113.89227089,5705399.30785999,13790256.6001762,15.9981981943692,0.225144271225101,8870.11389227089,5705.39930785999,13790.2566001762
"3",1980,13110014.1521268,8430355.11969634,20387334.6530099,16.3888869352303,0.225278364254098,13110.0141521268,8430.35511969634,20387.3346530099
"4",1981,10195175.6659263,5864474.77069977,17723941.3456788,16.1374251924383,0.28214891391043,10195.1756659263,5864.47477069977,17723.9413456788
"5",1982,15989099.990034,11482976.9670275,22263505.2935653,16.5874177974245,0.168901861009563,15989.099990034,11482.9769670275,22263.5052935653
"6",1983,6750569.43952453,4946494.14805129,9212623.40435503,15.7251374207015,0.158649746861622,6750.56943952453,4946.49414805129,9212.62340435503
"7",1984,3457888.90559366,2109699.51753349,5667629.71885542,15.056168817929,0.252102964782628,3457.88890559366,2109.69951753349,5667.62971885542
"8",1985,2163163.6864362,1385761.64021876,3376682.5394139,14.5870823777244,0.227209231418976,2163.1636864362,1385.76164021876,3376.6825394139
"9",1986,1164363.04868168,651375.723742518,2081350.68550882,13.9676847561365,0.296353839870299,1164.36304868168,651.375723742518,2081.35068550882
"10",1987,2051935.9456246,1061218.5415352,3967553.29854617,14.534294269203,0.336417353112858,2051.9359456246,1061.2185415352,3967.55329854617
"11",1988,2378183.45601693,1530825.92626887,3694578.49741126,14.6818475004468,0.22476409521463,2378.18345601693,1530.82592626887,3694.57849741126
"12",1989,4123802.5919094,2989589.81904582,5688321.4241298,15.2322862548621,0.164104802796626,4123.8025919094,2989.58981904582,5688.3214241298
"13",1990,4525653.37612211,2918925.37459969,7016807.84957181,15.3252725172057,0.223752291651634,4525.65337612211,2918.92537459969,7016.80784957181
"14",1991,5935010.26974311,3706911.59359772,9502343.39626358,15.5963793163939,0.240142006058004,5935.01026974311,3706.91159359772,9502.34339626358
"15",1992,5062592.06741283,2996053.57399997,8554532.7571741,15.4373891763872,0.267649138057236,5062.59206741283,2996.05357399997,8554.5327571741
"16",1993,6317536.48197279,4463131.38219015,8942436.10222199,15.6588398929762,0.177288314708926,6317.53648197279,4463.13138219015,8942.43610222199
"17",1994,4297668.99843555,2844289.56267,6493698.48362974,15.273583340291,0.210595431109708,4297.66899843555,2844.28956267,6493.69848362974
"18",1995,4348352.11734431,2623564.15491938,7207053.08500214,15.2853075076941,0.257792079817101,4348.35211734431,2623.56415491938,7207.05308500215
"19",1996,5750877.92646554,3961008.04829135,8349540.45078881,15.5648630839823,0.190235115766206,5750.87792646554,3961.00804829135,8349.54045078881
"20",1997,5529109.78264773,3935156.26603617,7768701.65294977,15.5255373809102,0.173511468946018,5529.10978264773,3935.15626603617,7768.70165294977
"21",1998,4443503.9161242,3097436.200237,6374538.73984566,15.3069537934755,0.18411996405445,4443.5039161242,3097.436200237,6374.53873984566
"22",1999,1264523.28662457,734498.9864228,2177020.21646543,14.0502057606004,0.277179514647101,1264.52328662457,734.4989864228,2177.02021646543
"23",2000,1349567.66792494,817172.784761996,2228822.25677503,14.1152948531434,0.255968486544609,1349.56766792494,817.172784761996,2228.82225677503
"24",2001,1759272.29526717,1148275.41650566,2695380.36293872,14.3804108129144,0.217676997814086,1759.27229526717,1148.27541650566,2695.38036293872
"25",2002,1086076.80724837,644621.129179058,1829854.43363456,13.8980825018815,0.266160235302822,1086.07680724837,644.621129179058,1829.85443363456
"26",2003,1108709.83916421,649653.051119975,1892144.59216405,13.9187075902265,0.272716163451579,1108.70983916421,649.653051119975,1892.14459216405
"27",2004,1109811.2435549,619158.584929611,1989281.94859947,13.9197005079768,0.297752304819301,1109.8112435549,619.158584929611,1989.28194859947
"28",2005,1058890.00404474,554984.006486667,2020324.95992803,13.8727317514314,0.329616861001019,1058.89000404474,554.984006486667,2020.32495992803
"29",2006,2530027.3081356,1690350.38138639,3786811.45068979,14.7437406543749,0.205766159930384,2530.0273081356,1690.35038138639,3786.81145068979
"30",2007,3332254.04776207,2294497.1268799,4839368.46498737,15.0191595241889,0.190378632716174,3332.25404776207,2294.4971268799,4839.36846498737
"31",2008,3243741.25309331,2229368.88487677,4719657.38303598,14.9922379293511,0.191334555223528,3243.74125309331,2229.36888487677,4719.65738303598
"32",2009,3834987.04756373,2660110.09450172,5528765.77754444,15.1596766153498,0.186635340967174,3834.98704756373,2660.11009450172,5528.76577754444
