"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,11457369.6408588,6925654.69379537,18954355.2041192,16.2541437176755,0.256841745795814,11457.3696408588,6925.65469379537,18954.3552041192
"2",1979,10600106.736783,6146739.16813294,18279978.9868622,16.1763746285394,0.278036918144121,10600.106736783,6146.73916813294,18279.9789868622
"3",1980,12980505.3526146,8728848.23953204,19303064.3431475,16.3789592016576,0.202460462029206,12980.5053526146,8728.84823953204,19303.0643431475
"4",1981,12576056.7696869,7522100.88118371,21025669.0747145,16.34730530777,0.262223837997699,12576.0567696869,7522.10088118371,21025.6690747145
"5",1982,16302884.4336297,11571474.6790563,22968899.6630082,16.60685260924,0.17490069397226,16302.8844336297,11571.4746790563,22968.8996630082
"6",1983,7694539.61394309,5533376.92402243,10699784.3601626,15.8560214942181,0.168223831843766,7694.53961394309,5533.37692402243,10699.7843601626
"7",1984,4210391.38675718,2454924.34975514,7221157.60163737,15.2530661673131,0.275239579704514,4210.39138675718,2454.92434975514,7221.15760163737
"8",1985,3176470.62127822,1871041.54008633,5392699.94367848,14.9712812708747,0.270043464044588,3176.47062127822,1871.04154008633,5392.69994367848
"9",1986,1234960.66774003,677561.689835924,2250906.2624751,14.0265496795533,0.306277973263392,1234.96066774003,677.561689835924,2250.9062624751
"10",1987,2623732.93404077,1518391.74993304,4533727.55053085,14.7801086456807,0.279059399339417,2623.73293404077,1518.39174993304,4533.72755053085
"11",1988,2823254.88391544,1802604.05868753,4421807.4962928,14.8534009914757,0.228911407729208,2823.25488391544,1802.60405868753,4421.8074962928
"12",1989,4976680.0053755,3507564.54722872,7061122.76550196,15.4202735610933,0.178493620511502,4976.6800053755,3507.56454722872,7061.12276550196
"13",1990,6063413.71179481,4149026.02647,8861112.36849991,15.6177835182191,0.193574651864153,6063.41371179481,4149.02602647,8861.11236849991
"14",1991,7847842.67623227,4987445.71924173,12348732.8259597,15.8757492336748,0.231287299404209,7847.84267623227,4987.44571924173,12348.7328259597
"15",1992,7629571.68644379,4634345.14589595,12560644.9856533,15.8475422662255,0.254360186081841,7629.57168644379,4634.34514589595,12560.6449856533
"16",1993,8257874.89658949,5846730.64716853,11663355.4584471,15.9266778359539,0.176168868113848,8257.87489658949,5846.73064716853,11663.3554584471
"17",1994,5777947.80765696,3830446.56627639,8715610.64496494,15.5695591270248,0.209732004755346,5777.94780765696,3830.44656627639,8715.61064496494
"18",1995,5529234.93250317,3439949.03920003,8887468.56143049,15.5255600153747,0.242143633283272,5529.23493250317,3439.94903920003,8887.46856143049
"19",1996,7728689.64967077,5471926.68982015,10916199.5558262,15.8604498912746,0.176181069209329,7728.68964967077,5471.92668982015,10916.1995558262
"20",1997,8904073.9559863,6408445.06176193,12371570.9894649,16.0020194778314,0.167805256129427,8904.0739559863,6408.44506176193,12371.5709894649
"21",1998,6983506.83855182,4831049.33270275,10094984.4237703,15.7590617609717,0.188007284163375,6983.50683855182,4831.04933270275,10094.9844237703
"22",1999,1733470.7494096,1002640.5359197,2997007.13406957,14.3656361702467,0.279336029014497,1733.4707494096,1002.6405359197,2997.00713406957
"23",2000,2057074.89301496,1213343.18726359,3487518.7497577,14.5367955768274,0.269344492403201,2057.07489301496,1213.34318726359,3487.5187497577
"24",2001,2393046.65728505,1501070.92142055,3815057.78456069,14.6880778641033,0.23795769148583,2393.04665728505,1501.07092142055,3815.05778456069
