"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,11457369.6362874,6925654.69225347,18954355.193214,16.2541437172765,0.256841745705835,11457.3696362874,6925.65469225347,18954.355193214
"2",1979,10600106.7063778,6146739.14964373,18279978.9369798,16.176374625671,0.278036918215339,10600.1067063778,6146.73914964373,18279.9789369798
"3",1980,12980505.3564241,8728848.24204846,19303064.3489126,16.3789592019511,0.202460462031851,12980.5053564241,8728.84824204846,19303.0643489126
"4",1981,12576056.7611644,7522100.87883409,21025669.0527851,16.3473053070923,0.262223837811313,12576.0567611644,7522.10087883409,21025.6690527851
"5",1982,16302884.4404167,11571474.687103,22968899.6661603,16.6068526096563,0.174900693829871,16302.8844404167,11571.474687103,22968.8996661603
"6",1983,7694539.61179534,5533376.92366463,10699784.3548812,15.856021493939,0.168223831734343,7694.53961179534,5533.37692366463,10699.7843548812
"7",1984,4210391.39159054,2454924.35084057,7221157.6150238,15.253066168461,0.275239580064632,4210.39139159054,2454.92435084057,7221.1576150238
"8",1985,3176470.61766965,1871041.53866128,5392699.93553318,14.9712812697387,0.270043463853566,3176.47061766965,1871.04153866128,5392.69993553318
"9",1986,1234960.66750797,677561.689859134,2250906.26155209,14.0265496793654,0.306277973150044,1234.96066750797,677.561689859134,2250.90626155209
"10",1987,2623732.93440679,1518391.75052243,4533727.55003596,14.7801086458202,0.279059399212547,2623.73293440679,1518.39175052243,4533.72755003596
"11",1988,2823254.881744,1802604.05756416,4421807.4922466,14.8534009907065,0.228911407654753,2823.254881744,1802.60405756416,4421.8074922466
"12",1989,4976680.00260937,3507564.54606111,7061122.7600031,15.4202735605375,0.178493620397758,4976.68000260937,3507.56454606111,7061.1227600031
"13",1990,6063413.70686459,4149026.02388794,8861112.35960433,15.6177835174059,0.193574651766814,6063.41370686459,4149.02602388794,8861.11235960433
"14",1991,7847842.67656917,4987445.71791369,12348732.8303081,15.8757492337177,0.23128729956197,7847.84267656917,4987.44571791369,12348.7328303081
"15",1992,7629571.68770695,4634345.14785469,12560644.9845036,15.847542266391,0.254360185950668,7629.57168770695,4634.34514785469,12560.6449845036
"16",1993,8257874.89538135,5846730.64801462,11663355.4533465,15.9266778358076,0.176168867965368,8257.87489538135,5846.73064801462,11663.3554533465
"17",1994,5777947.80805906,3830446.56674775,8715610.6451055,15.5695591270944,0.209732004728067,5777.94780805906,3830.44656674775,8715.6106451055
"18",1995,5529234.92296541,3439949.03919382,8887468.53078532,15.5255600136497,0.242143632404091,5529.23492296541,3439.94903919382,8887.46853078532
"19",1996,7728689.64555892,5471926.68905809,10916199.5457311,15.8604498907426,0.17618106900894,7728.68964555892,5471.92668905809,10916.1995457311
"20",1997,8904073.95439387,6408445.06158225,12371570.9853867,16.0020194776526,0.167805256052486,8904.07395439387,6408.44506158225,12371.5709853867
"21",1998,6983506.84120842,4831049.33329434,10094984.4302145,15.7590617613521,0.188007284294986,6983.50684120842,4831.04933329434,10094.9844302145
"22",1999,1733470.7499941,1002640.53651638,2997007.13430713,14.3656361705839,0.279336028882902,1733.4707499941,1002.64053651638,2997.00713430713
"23",2000,2057074.89260033,1213343.18722561,3487518.74846096,14.5367955766259,0.269344492316332,2057.07489260033,1213.34318722561,3487.51874846096
"24",2001,2393046.65652412,1501070.92133345,3815057.78235588,14.6880778637853,0.237957691353201,2393.04665652412,1501.07092133345,3815.05778235588
"25",2002,1397011.45893062,794075.038470936,2457753.89205223,14.1498458407327,0.288226009525981,1397.01145893062,794.075038470936,2457.75389205223
"26",2003,1343082.24114494,762391.416230779,2366067.96466458,14.1104777105217,0.288914665069564,1343.08224114494,762.391416230779,2366.06796466458
"27",2004,1348367.17824874,756918.387780761,2401968.39808454,14.1144049207886,0.294594292956579,1348.36717824874,756.918387780761,2401.96839808454
