"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,9154840.46653179,5036653.30831804,16640236.8472005,16.0297933101095,0.304873416790132,9154.84046653179,5036.65330831804,16640.2368472005
"2",1979,8870113.89032824,5705399.30645878,13790256.5975226,15.9981981941501,0.225144271238664,8870.11389032824,5705.39930645878,13790.2565975226
"3",1980,13110014.1499797,8430355.11860491,20387334.6489714,16.3888869350665,0.225278364236592,13110.0141499797,8430.35511860491,20387.3346489714
"4",1981,10195175.6613639,5864474.76854428,17723941.3363301,16.1374251919908,0.282148913869636,10195.1756613639,5864.47476854428,17723.9413363301
"5",1982,15989099.9894216,11482976.9667086,22263505.2924783,16.5874177973862,0.168901861004193,15989.0999894216,11482.9769667086,22263.5052924783
"6",1983,6750569.43917132,4946494.14795138,9212623.40357708,15.7251374206492,0.158649746845232,6750.56943917132,4946.49414795138,9212.62340357708
"7",1984,3457888.90596803,2109699.51791234,5667629.71906487,15.0561688180372,0.252102964746245,3457.88890596803,2109.69951791234,5667.62971906487
"8",1985,2163163.68584871,1385761.6399115,3376682.53832846,14.5870823774528,0.227209231393535,2163.16368584871,1385.7616399115,3376.68253832846
"9",1986,1164363.04795937,651375.723311137,2081350.6843049,13.9676847555161,0.296353839891685,1164.36304795937,651.375723311137,2081.3506843049
"10",1987,2051935.94510054,1061218.54126873,3967553.29751582,14.5342942689476,0.336417353110665,2051.93594510054,1061.21854126873,3967.55329751582
"11",1988,2378183.45373268,1530825.92477732,3694578.49391373,14.6818474994863,0.224764095221692,2378.18345373268,1530.82592477732,3694.57849391373
"12",1989,4123802.59227048,2989589.81933863,5688321.42456881,15.2322862549496,0.164104802791329,4123.80259227048,2989.58981933863,5688.32142456881
"13",1990,4525653.37573177,2918925.37444328,7016807.84873741,15.3252725171195,0.223752291634968,4525.65337573177,2918.92537444328,7016.80784873741
"14",1991,5935010.26826718,3706911.59276289,9502343.39367746,15.5963793161452,0.240142006046028,5935.01026826718,3706.91159276289,9502.34339367746
"15",1992,5062592.06483154,2996053.57316508,8554532.75083445,15.4373891758773,0.267649137939269,5062.59206483154,2996.05357316508,8554.53275083445
"16",1993,6317536.48160864,4463131.38212819,8942436.10131525,15.6588398929185,0.177288314686601,6317.53648160864,4463.13138212819,8942.43610131525
"17",1994,4297668.99745748,2844289.56228295,6493698.48155769,15.2735833400634,0.210595431063022,4297.66899745748,2844.28956228295,6493.69848155769
"18",1995,4348352.11651028,2623564.15443642,7207053.08356418,15.2853075075023,0.257792079813163,4348.35211651028,2623.56415443642,7207.05308356418
"19",1996,5750877.92546415,3961008.04776691,8349540.44898652,15.5648630838081,0.190235115744916,5750.87792546415,3961.00804776691,8349.54044898653
"20",1997,5529109.78093311,3935156.26514245,7768701.64989583,15.5255373806001,0.173511468903672,5529.10978093311,3935.15626514245,7768.70164989583
