"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,13430642.0541047,7796416.4663067,23136545.7149489,16.4130493748105,0.277492148022292,13430.6420541047,7796.4164663067,23136.5457149489
"2",1979,10310891.9466121,6113372.71432046,17390481.1145689,16.1487113650166,0.266699894088356,10310.8919466121,6113.37271432046,17390.4811145689
"3",1980,12526453.353975,8231469.01995811,19062458.1406867,16.343353234449,0.214227498716309,12526.453353975,8231.46901995811,19062.4581406867
"4",1981,10487609.8046622,6232455.12711866,17647934.4289632,16.165705099754,0.265527432812861,10487.6098046622,6232.45512711866,17647.9344289632
"5",1982,16548610.8174501,11544754.124403,23721295.1472527,16.6218127177417,0.183713076968724,16548.6108174501,11544.754124403,23721.2951472527
"6",1983,7714465.40978339,5513801.37129833,10793456.7372221,15.8586077490627,0.17135156789117,7714.46540978339,5513.80137129833,10793.4567372221
"7",1984,3194696.22425543,2108135.4638967,4841284.69923222,14.9770025627932,0.212089669852534,3194.69622425543,2108.1354638967,4841.28469923222
"8",1985,2666018.33798938,1608789.46804343,4418013.61811488,14.7960966581628,0.257710902442648,2666.01833798938,1608.78946804343,4418.01361811488
"9",1986,1190446.8772239,637453.0225971,2223165.81340904,13.989839321674,0.318681089726677,1190.4468772239,637.4530225971,2223.16581340904
"10",1987,2259258.66207313,1249441.33275766,4085225.58709244,14.6305472918049,0.302219949395654,2259.25866207313,1249.44133275766,4085.22558709244
"11",1988,2560989.03840996,1594640.94771405,4112941.45196631,14.7559040849733,0.241711037040214,2560.98903840996,1594.64094771405,4112.94145196631
"12",1989,4934267.7270081,3439874.2926881,7077874.34370679,15.4117148362548,0.184069377418082,4934.2677270081,3439.8742926881,7077.87434370679
"13",1990,5490717.6180971,3668939.72118693,8217082.38693244,15.5185695186223,0.205695741259143,5490.7176180971,3668.93972118693,8217.08238693244
"14",1991,6424096.96475043,4365776.58951779,9452847.84191712,15.6755666286341,0.197075041896785,6424.09696475043,4365.77658951779,9452.84784191712
"15",1992,6064217.7742256,4288431.28192096,8575335.54711894,15.6179161182956,0.176781086564557,6064.2177742256,4288.43128192096,8575.33554711894
"16",1993,7476641.17810372,5493086.61895614,10176457.6428141,15.8272942087414,0.157295404406416,7476.64117810372,5493.08661895614,10176.4576428141
"17",1994,5168127.947279,3588131.76696287,7443858.86978009,15.4580210817385,0.186166102429191,5168.127947279,3588.13176696287,7443.85886978009
"18",1995,4580122.09258589,3169754.40033722,6618026.42525288,15.3372362135049,0.187795056332919,4580.12209258589,3169.75440033722,6618.02642525288
"19",1996,6803021.57465428,4887496.56233955,9469285.95343252,15.7328774206663,0.168720774135067,6803.02157465428,4887.49656233955,9469.28595343252
"20",1997,7944496.69450863,5737676.6753291,11000101.8357205,15.8879900072375,0.166036255687316,7944.49669450863,5737.6766753291,11000.1018357205
"21",1998,6172406.63352826,4302735.21150869,8854508.06912773,15.6355993738867,0.184104352219011,6172.40663352826,4302.73521150869,8854.50806912773
"22",1999,1552016.77922212,889170.537596654,2708992.23617737,14.2550657910213,0.28419984678228,1552.01677922212,889.170537596654,2708.99223617737
"23",2000,1989740.0310455,1136623.70790061,3483180.37326312,14.5035145505013,0.285689833423696,1989.7400310455,1136.62370790061,3483.18037326312
"24",2001,2280110.99712419,1399771.59828346,3714110.33455894,14.6397346826949,0.248940822051154,2280.11099712419,1399.77159828346,3714.11033455894
"25",2002,1353172.4418942,750406.57065211,2440111.43973684,14.1179623505425,0.300817730508232,1353.1724418942,750.40657065211,2440.11143973684
"26",2003,1274862.34566832,701147.211269626,2318021.05788869,14.0583487665644,0.305044187291077,1274.86234566832,701.147211269626,2318.02105788869
"27",2004,1249555.08831564,681856.838900564,2289905.78323321,14.0382981165731,0.309048084656591,1249.55508831564,681.856838900564,2289.90578323321
"28",2005,1340392.7618736,706122.162509343,2544393.66369465,14.1084732348558,0.327010957185422,1340.3927618736,706.122162509343,2544.39366369465
"29",2006,2857340.73330038,1852106.02074333,4408168.84926537,14.86540193672,0.221212226841146,2857.34073330038,1852.10602074333,4408.16884926537
"30",2007,4358531.90802064,2975726.00320805,6383921.22552751,15.287645840279,0.194721556828255,4358.53190802064,2975.72600320805,6383.92122552751
"31",2008,3605332.10900526,2393973.25594223,5429642.78483902,15.0979244490087,0.208911724136975,3605.33210900526,2393.97325594223,5429.64278483902
"32",2009,5102263.77820892,3528763.55041377,7377398.70934969,15.44519487729,0.188134466578052,5102.26377820892,3528.76355041377,7377.39870934969
