"","SURVEY_YEAR","est","lwr","upr","log_est","se","est.t","lwr.t","upr.t"
"1",1978,12995244.6661852,7849932.88828788,21513099.071965,16.3800940535977,0.257187640749753,12995.2446661852,7849.93288828788,21513.099071965
"2",1979,7065048.42708108,4606497.38900981,10835761.9817799,15.7706704285827,0.218214258645054,7065.04842708108,4606.49738900981,10835.7619817799
"3",1980,11480618.3639912,7870021.69127285,16747679.1284796,16.2561708118642,0.192656313205536,11480.6183639912,7870.02169127285,16747.6791284796
"4",1981,11180023.1058976,7194016.34405709,17374566.6774387,16.2296390924062,0.224942356465485,11180.0231058976,7194.01634405709,17374.5666774387
"5",1982,15372833.5723352,11140885.5756605,21212318.3958566,16.5481124558643,0.164278616330752,15372.8335723352,11140.8855756604,21212.3183958566
"6",1983,6518618.33788067,4801424.34619253,8849954.09094597,15.6901730000785,0.155997677426823,6518.61833788067,4801.42434619253,8849.95409094597
"7",1984,3421474.18299665,2290912.7647537,5109965.67177065,15.0455820638243,0.204657424138373,3421.47418299665,2290.9127647537,5109.96567177065
"8",1985,2351020.41390684,1506951.93314497,3667865.48730282,14.6703600105585,0.226922756076144,2351.02041390684,1506.95193314497,3667.86548730282
"9",1986,1048529.84623945,590586.424657951,1861564.69663465,13.8628995945741,0.292876979757422,1048.52984623945,590.586424657951,1861.56469663465
"10",1987,2318236.44919789,1375781.40786744,3906303.8675018,14.6563173033733,0.266221666925892,2318.23644919789,1375.78140786744,3906.3038675018
"11",1988,2554744.65656575,1642901.63218573,3972678.66340119,14.7534628379039,0.225253278638762,2554.74465656575,1642.90163218573,3972.67866340119
"12",1989,5373760.82440665,3732892.1417357,7735906.71829603,15.4970385611021,0.185893567271133,5373.76082440665,3732.8921417357,7735.90671829603
"13",1990,6151316.46881072,4048483.21206098,9346387.84884556,15.6321766768444,0.213434444076667,6151.31646881072,4048.48321206098,9346.38784884556
"14",1991,7529538.05941184,4780047.19502584,11860540.5082878,15.8343442512026,0.231832460663302,7529.53805941184,4780.04719502584,11860.5405082878
"15",1992,8262350.02872112,4645941.88855641,14693775.6938496,15.9272196121418,0.293737503491269,8262.35002872112,4645.94188855641,14693.7756938496
"16",1993,9811667.34876628,5714494.34398185,16846427.7621048,16.0990827812956,0.2758042561018,9811.66734876628,5714.49434398185,16846.4277621048
"17",1994,6655226.78789904,3706119.93976345,11951055.0975843,15.7109130870518,0.298687650740036,6655.22678789904,3706.11993976345,11951.0550975843
"18",1995,6641011.14524575,3601924.24817422,12244296.6571642,15.7087747907696,0.312146560645326,6641.01114524575,3601.92424817422,12244.2966571642
